№,id,Link ru,Link uz - lotincha,,Xizmat nomi - ru,Xizmat nomi - uz,Muxlisa text - RU,Muxlisa text - UZ
1,874,https://my3.gov.uz/ru/service/874 ,https://my3.gov.uz/uz/service/874 ,https://my3.gov.uz/y3/service/874,Проверка очереди в студенческом общежитии (для студентов 1 курса),Талабалар турар жойига навбатни текшириш (1-курс талабалари учун),"Данная услуга предоставляет удобную возможность студентам, поступившим на первый курс, подать заявление на размещение в студенческом общежитии. Отличительной чертой данной услуги является онлайн подача заявки, что избавляет студентов от необходимости личного обращения к администрации общежития. Это в свою очередь обеспечивает удобство и эффективность за счет сокращения затрат времени.","Ushbu xizmat birinchi kursga qabul qilingan talabalariga talabalar turar joyida yashash uchun ariza yuborishga qulay imkoniyat yaratadi. Xizmat yotoqxona ma'muriyati bilan shaxsan bog'lanish zaruratini yo'qotib, talabalarga onlayn ariza topshirish imkonini beradi, va bu o'z navbatida vaqt sarfini kamaytirish orqali qulaylik va samaradorlikni ta'minlaydi"
2,870,https://my3.gov.uz/ru/service/870,https://my3.gov.uz/uz/service/870,https://my3.gov.uz/y3/service/870,Подача заявления на размещение в студенческом общежитии (для студентов 1 курса),Талабалар турар жойига жойлашиш учун ариза юбориш (1-курс талабалари учун),Предлагаемая услуга призвана обеспечить студентов первого курса удобной возможностью проверки их позиции в очереди для размещения в студенческом общежитии. ,Taklif etilayotgan xizmat birinchi kurs talabalariga talabalar turar joyiga joylashtirish uchun navbatda turgan o‘rnini tekshirish uchun qulay imkoniyat yaratish uchun mo‘ljallangan.
3,869,https://my3.gov.uz/ru/service/869,https://my3.gov.uz/uz/service/869,https://my3.gov.uz/y3/service/869,Подача документов для частного приглашения иностранных граждан и лиц без гражданства в Республику Узбекистан,Чет эл фуқароси ва фуқаролиги бўлмаган шахсларни Ўзбекистон Республикасига хусусий таклиф қилишга ариза юбориш,Данная услуга помогает физическим лицам в частном порядке пригласить иностранных граждан и лиц без гражданства в Республику Узбекистан. В данной услуге от заявителя не требуется никакие дополнительные документы.,Mazkur xizmat chet el fuqarosi va fuqaroligi bo‘lmagan shaxslarni O‘zbekiston Respublikasiga xususiy taklif qilishda jismoniy shaxslarga ko‘mak beradi. Bu xizmatda arizachidan hech qanday ortiqcha hujjatlar talab qilinmaydi.
4,868,https://my3.gov.uz/ru/service/868,https://my3.gov.uz/uz/service/868,https://my3.gov.uz/y3/service/868,Просмотр доступных авиабилетов на Uzairways,Uzairways авиакомпаниясида мавжуд авиачипталарни кўриш,С помощью данной услиги вы можете найти и купить авиабилеты авиакомпании Uzairways. Цена услуги определяется исходя из выбранного заявителем маршрута.,Ushbu xizmat yordamida siz parvozlari O‘zbekiston havo yo‘llari tomonidan amalga oshiriladigan aviachiptalarni topishingiz va sotib olishingiz mumkin. Xizmatning narxi arizachi tomonidan tanlangan yo‘nalishdan kelib chiqib tayinlanadi.
5,867,https://my3.gov.uz/ru/service/867,https://my3.gov.uz/uz/service/867,https://my3.gov.uz/y3/service/867,Получение свидетельство на возвращение в Республику Узбекистан,O‘zbekiston Respublikasiga qaytish uchun guvohnoma olish,"Данная услуга помогает гражданам, находящимся за рубежом и не имеющим возможности вернуться в Республику Узбекистан по тем или иным причинам, без особых хлопот оформить сертификат на возвращение в Республику Узбекистан.",Ushbu xizmat ayni vaqtda chet elda bo‘lgan va ayrim sabablarga ko‘ra O‘zbekiston Respublikasiga qaytib kela olmayotgan fuqarolarga O‘zbekiston Respublikasiga qaytish uchun guvohnomani ortiqcha ovoragarchiliklarsiz rasmiylashtirishga yordam beradi. 
6,866,https://my3.gov.uz/ru/service/866,https://my3.gov.uz/uz/service/866,https://my3.gov.uz/y3/service/866,Аттестация (переаттестация) претендентов на судебных управляющих и выдача им квалификационного аттестата,Суд бошқарувчилари талабгорларини аттестациядан (қайта аттестациядан) ўтказиш ва уларга малака аттестатини бериш,Претенденты на судебных управляющих могут воспользоваться данной услугой для подачи заявления на аттестацию или переаттестацию и получить квалификационного сертификата. Данная услуга требует подтверждения вашей учетной записи с ЭЦП на единой системе идентификации.,"Sud boshqaruvchilari talabgorlari xizmatdan foydalanib, attestatsiya yoki qayta attestatsiyadan o‘tish uchun ariza yuborishlari va malaka attestatini olishlari mumkin. Ushbu xizmatdan foydalanish uchun siz yagona identifikatsiyalash tizimida elektron raqamli imzo bilan tasdiqlangan akkaunt orqali avtorizatsiyadan o‘tishingiz lozim."
7,864,https://my3.gov.uz/ru/service/864,https://my3.gov.uz/uz/service/864,https://my3.gov.uz/y3/service/864,Оформление документов на постоянное местожительства за рубежом,Хорижга доимий яшашга чиқишни расмийлаштириш,С помощью данной услуги заявитель может подать заявление в дипломатическое представительство и консульское учреждение Республики Узбекистан на постоянное место жительства за рубежом. Услуга абсолютно бесплатна. Заявки рассматриваются уполномоченным органом в течение одного рабочего дня.,Bu xizmat orqali ariza beruvchi chet elda doimiy yashashga qolishi uchun O‘zbekiston Respublikasining xorijdagi diplomatik vakolatxona va konsullik muassasasiga murojaat qilishi mumkin. Xizmat mutlaqo bepul. Arizalar bir ish kunida vakolatli organ tomonidan ko‘rib chiqiladi.
8,862,https://my3.gov.uz/ru/service/862,https://my3.gov.uz/uz/service/862,https://my3.gov.uz/y3/service/862,Ознакомление с результатом тестовых испытаний абитуриента,Абитуриент тест синовлари натижаси билан танишиш,"Благодаря этой услуге абитуриентам не нужно идти в высшие учебные заведения, чтобы узнать результаты тестов. Введя серию и номер своего паспорта абитуриенты могут узнать результаты тестов. ","Bu xizmat bilan abituriyentlar test sinovlari natijalarini bilish uchun Oliy taʼlim muassasalariga borishlari shart emas. Abituriyent pasportini seriya va raqamini kiritib, test sinovlarini natijalarini bilib olishlari mumkin."
9,861,https://my3.gov.uz/ru/service/861,https://my3.gov.uz/uz/service/861,https://my3.gov.uz/y3/service/861,Подача заявление на сдачу экзамена на получение водительского удостоверения тракториста,Тракторчи-машинист гувоҳномасини олиш учун имтиҳон топширишга рухсат бериш,"Через эту услугу отправляется заявление на получение удостоверения тракториста-машиниста, после рассмотрения поданных документов заявителю направляется уведомление о том, разрешить или отказать от сдачи экзамена. Когда кандидату будет разрешено сдать экзамен, он будет включен в список сдающих тест. В ЕПИГУ придет уведомление о дате и времени теоретического экзамена. Кандидату, сдавшему экзамен, будет направлено уведомление о получении удостоверения тракториста-машиниста с фотографией в автоматизированную информационную систему тракториста-машиниста.","Ushbu xizmat orqali traktorchi-mashinist guvohnomasini olish uchun so‘rovnoma yuboriladi va taqdim etilgan hujjatlarni ko‘rib chiqilib, talabgorga imtihon topshirishga ruxsat berish yoki rad etish to‘g‘risida xabarnoma yuboriladi. Talabgorga imtihon topshirishga ruxsat etilganda, uni imtihon topshiruvchilar ro‘yxatiga kiritadi hamda talabgorga nazariy imtihon o‘tkazish sanasi va vaqti to‘g‘risida xabarnoma YIDXP orqali yuboradi. Imtihondan o‘tgan talabgorga “Traktorchi-mashinist” avtomatlashtirilgan axborot tizimiga suratga tushgan holda traktorchi-mashinist guvohnomasini olib ketishi to‘g‘risidagi xabarnomani yuboriladi."
10,860,https://my3.gov.uz/ru/service/860,https://my3.gov.uz/uz/service/860,https://my3.gov.uz/y3/service/860,Подача заявление на замену удостоверения тракториста или получение нового взамен утерянного,Тракторчи-машинист гувоҳномасини алмаштириш ёки йўқолгани ўрнига янгисини олиш,"Воспользовавшись данной услугой, можно заменить удостоверение тракториста-машиниста или получить новое взамен утерянного. Заявителю, которому разрешено заменить удостоверение тракториста или получить новое взамен утраченного, будет направлено уведомление.",Xizmatdan foydalangan holda traktorchi-mashinist guvohnomasini almashtirish yoki yo‘qolgani o‘rniga yangisini olish mumkin. Traktorchi-mashinist guvohnomasini almashtirishga yoxud yo‘qolgani o‘rniga yangisini olishga ruxsat berilgan talabgorga “Traktorchi-mashinist” avtomatlashtirilgan axborot tizimiga suratga tushgan holda traktorchi-mashinist guvohnomasini olib ketishi to‘g‘risidagi xabarnomani yuboriladi.
11,858,https://my3.gov.uz/ru/service/858,https://my3.gov.uz/uz/service/858,https://my3.gov.uz/y3/service/858,Калькулятор капельного орошения,Томчилатиб суғориш калькулятори,"Введя площадь поверхности земли и другие дополнительные информации, можно воспользоваться калькулятором капельного орошения.","Yer yuzasi maydoni va boshqa qo‘shimcha maʼlumotlarni kiritib, tomchilatib sug‘orish kalkulyatoridan foydalanish mumkin."
12,856,https://my3.gov.uz/ru/service/856,https://my3.gov.uz/uz/service/856,https://my3.gov.uz/y3/service/856,Получение информации о спортивных званиях и разрядах спортсмена,Спортчининг спорт унвонини текшириш,"Введя ПИНФЛ пользователя, можно получить информацию о спортивных званиях и разрядах спортсмена.","Foydalanuvchi JSHSHIR kiritgan holda, sport unvonini tekshirishi mumkin."
13,855,https://my3.gov.uz/ru/service/855,https://my3.gov.uz/uz/service/855,https://my3.gov.uz/y3/service/855,Сведения о больничном листе,Вақтинча меҳнатга лаёқатсизлик варақалари маълумотномаларини олиш,Временна нетрудоспособные граждане могут получить справку о временной нетрудоспособности с помощью данной услуги. Услуга абсолютно бесплатна. Справка выдается автоматически уполномоченным органом.,Vaqtincha mehnatga layoqatsizlik fuqarolar mazkur xizmatdan foydalangan holda vaqtincha mehnatga layoqatsizlik varaqalari maʼlumotnomalarini olishlari mumkin. Xizmat mutlaqo bepul. Maʼlumotnoma vakolatli organ tomonidan avtomatik tarzda beriladi.
14,852,https://my3.gov.uz/ru/service/852,https://my3.gov.uz/uz/service/852,https://my3.gov.uz/y3/service/852,Календарь профилактических осмотров населения и программ скрининга,Аҳолининг профилактик кўриклар ва скрининг дастурларидан ўтказиш тақвими,"Воспользовавшись данной услугой, можно получить календарь профилактических осмотров населения и программ скрининга.","Xizmatdan foydalanib, yo‘nalishni tanlagan holda profilaktik ko‘riklar va skrining dasturlaridan o‘tkazish taqvimini onlayn olish mumkin."
15,851,https://my3.gov.uz/ru/service/851,https://my3.gov.uz/uz/service/851,https://my3.gov.uz/y3/service/851,Получение академической справки (транскрипта) для студентов высших учебных заведений,Олий таълим муассасалари талабалари учун академик маълумотнома (транскрипт) олиш,"Студенты высших учебных заведений, Воспользовавшись этой услугой могут получить академическую справку онлайн и совершенно бесплатно.","Oliy taʼlim muassasalari talabalari mazkur xizmatdan foydalangan holda, ortiqcha ovoragarchiliklarsiz akademik maʼlumotnomani onlayn va mutlaqo bepul olishlari mumkin."
16,850,https://my3.gov.uz/ru/service/850,https://my3.gov.uz/uz/service/850,https://my3.gov.uz/y3/service/850,"Подготовка аннотации турецких, персидских и арабских документов, созданных с помощью арабского алфавита","Араб алифбосида яратилган турк, форс ва араб тилидаги ҳужжатларга аннотация тайёрлаш","Данная услуга позволяет готовить аннотации к турецким, персидским и арабским документам, созданным на арабском алфавите. После оплаты, заявки будут рассмотрены агентством Узархив Республики Узбекистан в течение трёх рабочих дней.","Mazkur xizmat arab alifbosida yaratilgan turk, fors va arab tilidagi hujjatlarga annotatsiya tayyorlash imkonini beradi. To‘lov qilingach, arizalar O‘zbekiston Respublikasi O‘zarxiv agentligi tomonidan 3 ish kuni mobaynida ko‘rib chiqiladi."
17,849,https://my3.gov.uz/ru/service/849,https://my3.gov.uz/uz/service/849,https://my3.gov.uz/y3/service/849,"Документы, подтверждающие право собственности или другие имущественные права на технику","Қишлоқ хўжалиги, мелиорация ва йўл-қурилиш техникаларини рўйхатда турганлиги тўғрисида маълумотнома олиш","Данная услуга позволяет получить онлайн справку о регистрации сельскохозяйственной, мелиоративной и дорожно-строительной техники путем внесения информации о заявителе и технике.","Ushbu xizmat arizachi va texnika to‘g‘risida maʼlumotlarni kiritib qishloq xo‘jaligi, melioratsiya va yo‘l-qurilish texnikalarini ro‘yxatda turganligi to‘g‘risida maʼlumotnomani onlayn olish imkonini beradi."
